mode,source_raw,destination_raw,reason,raw_record
flight,Akola,Kochi,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Kochi"", ""mode_raw"": ""Flight"", ""distance_km"": 1171.12, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Dhanbad,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Dhanbad"", ""mode_raw"": ""Flight"", ""distance_km"": 1024.23, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Dehradun,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Dehradun"", ""mode_raw"": ""Flight"", ""distance_km"": 1077.24, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,New Delhi,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""New Delhi"", ""mode_raw"": ""Flight"", ""distance_km"": 877.32, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Daporijo,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Daporijo"", ""mode_raw"": ""Flight"", ""distance_km"": 1869.74, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Dharamshala / Kangra,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Dharamshala / Kangra"", ""mode_raw"": ""Flight"", ""distance_km"": 1296.1, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Dibrugarh,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Dibrugarh"", ""mode_raw"": ""Flight"", ""distance_km"": 1969.77, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Diu,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Diu"", ""mode_raw"": ""Flight"", ""distance_km"": 641.46, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Dimapur,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Dimapur"", ""mode_raw"": ""Flight"", ""distance_km"": 1798.88, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Akola"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 1782.32, ""time_hours"": 1.83, ""availability_raw"": ""Yes""}"
flight,Akola,Chandigarh,non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Chandigarh"", ""mode_raw"": ""Flight"", ""distance_km"": 1113.23, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Prayagraj (Allahabad),non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Prayagraj (Allahabad)"", ""mode_raw"": ""Flight"", ""distance_km"": 712.8, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Mangaluru (Mangalore),non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Mangaluru (Mangalore)"", ""mode_raw"": ""Flight"", ""distance_km"": 887.73, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Akola,Belagavi (Belgaum),non_positive_duration,"{""source_raw"": ""Akola"", ""destination_raw"": ""Belagavi (Belgaum)"", ""mode_raw"": ""Flight"", ""distance_km"": 594.58, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Ahmedabad,Daporijo,non_positive_duration,"{""source_raw"": ""Ahmedabad"", ""destination_raw"": ""Daporijo"", ""mode_raw"": ""Flight"", ""distance_km"": 2199.59, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Ahmedabad,Dharamshala / Kangra,non_positive_duration,"{""source_raw"": ""Ahmedabad"", ""destination_raw"": ""Dharamshala / Kangra"", ""mode_raw"": ""Flight"", ""distance_km"": 1087.33, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Ahmedabad,Dibrugarh,non_positive_duration,"{""source_raw"": ""Ahmedabad"", ""destination_raw"": ""Dibrugarh"", ""mode_raw"": ""Flight"", ""distance_km"": 2301.44, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Ahmedabad,Dimapur,non_positive_duration,"{""source_raw"": ""Ahmedabad"", ""destination_raw"": ""Dimapur"", ""mode_raw"": ""Flight"", ""distance_km"": 2160.66, ""time_hours"": 0.0, ""availability_raw"": ""No""}"
flight,Ahmedabad,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Ahmedabad"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 2168.4, ""time_hours"": 2.75, ""availability_raw"": ""Yes""}"
flight,Amritsar,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Amritsar"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 2019.37, ""time_hours"": 2.52, ""availability_raw"": ""Yes""}"
flight,Bhubaneswar,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Bhubaneswar"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 969.45, ""time_hours"": 1.21, ""availability_raw"": ""Yes""}"
flight,Vadodara,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Vadodara"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 2123.42, ""time_hours"": 2.65, ""availability_raw"": ""Yes""}"
